"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"25500","Harrisonburg, VA",".",".",".",".",".",".","16","8","2",".",".","47","22","."
"25540","Hartford-West Hartford-East Hartford, CT","9.5","5.1","57","17","0.15","0.11","26","18","3","38","11.8","29","10","."
"25620","Hattiesburg, MS",".",".",".",".",".",".",".",".",".","32","12.8",".",".","."
"25740","Helena, MT",".",".",".",".",".",".",".",".",".","45","11.1","28","16","."
"25760","Helena-West Helena, AR",".",".",".",".",".",".",".",".",".","30","11.3",".",".","."
"25840","Hermiston-Pendleton, OR",".",".",".",".",".",".",".",".",".","40","9.3","49","19","."
"25860","Hickory-Lenoir-Morganton, NC",".",".",".",".","0.11","0.095",".",".",".","34","15.4","43","22","."
"25900","Hilo, HI",".",".",".",".","0.05","0.042","768","162","10",".",".",".",".","."
"25940","Hilton Head Island-Bluffton-Beaufort, SC",".",".",".",".",".",".",".",".",".","23","10.2",".",".","."
"26020","Hobbs, NM",".",".",".",".",".",".",".",".",".","18","6.6","53","17","."
"26090","Holland, MI",".",".",".",".","0.12","0.105",".",".",".","37","12.4",".",".","."
"26140","Homosassa Springs, FL",".",".",".",".",".",".",".",".",".","19","8.6",".",".","."
"26300","Hot Springs, AR",".",".",".",".",".",".",".",".",".","29","9.9",".",".","."
"26380","Houma-Thibodaux, LA",".",".",".",".","0.09","0.072",".",".",".","18","9.3",".",".","."
"26420","Houston-The Woodlands-Sugar Land, TX","4.4","3.3","57","19","0.17","0.101","79","25","3","32","14.5","95","34","."
"26540","Huntington, IN",".",".",".",".","0.1","0.089",".",".",".",".",".",".",".","."
"26580","Huntington-Ashland, WV-KY-OH","2.7","1.6","42","11","0.13","0.102","93","34","9","46","16.7","65","28","."
"26620","Huntsville, AL",".",".",".",".","0.1","0.078",".",".",".","34","13.8","47","19","."
"26820","Idaho Falls, ID",".",".",".",".","0.08","0.069",".",".",".","19","7.7",".",".","."
"26900","Indianapolis-Carmel-Anderson, IN","14.2","5",".","18","0.13","0.106","111","25","5","45","18.3","54","22","."
"26980","Iowa City, IA",".",".",".",".",".",".",".",".",".","26","11.4",".",".","."
"27020","Iron Mountain, MI-WI",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"27060","Ithaca, NY",".",".",".",".","0.1","0.088",".",".",".",".",".",".",".","."
"27140","Jackson, MS","4.9","3",".",".","0.09","0.075","30","8","2","33","12.5",".",".","."
"27180","Jackson, TN",".",".",".",".",".",".",".",".",".","32","12.2","46","19","."
"27220","Jackson, WY-ID",".","0.9",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"27260","Jacksonville, FL","3.9","2.6","51","15","0.09","0.069","178","54","6","22","9.3","119","26","."
"27340","Jacksonville, NC",".",".",".",".",".",".",".",".",".","27","11",".",".","."
"27460","Jamestown-Dunkirk-Fredonia, NY",".",".",".",".","0.12","0.1","254","62","7","38","11.3","41","12","."
"27500","Janesville-Beloit, WI",".",".",".",".","0.1","0.087",".",".",".","32","11.8",".",".","."
"27540","Jasper, IN",".",".",".",".",".",".","130","50","10",".",".","37","19","."
"27780","Johnstown, PA","3.9","2.6","42","12","0.11","0.088","82","25","7","47","16.1","68","23","."
"27900","Joplin, MO",".",".",".",".",".",".",".",".",".","32","13.9","256","45","."
"27940","Juneau, AK",".",".",".",".",".",".",".",".",".","20","6.2","29","8","."
"27980","Kahului-Wailuku-Lahaina, HI",".",".",".",".",".",".",".",".",".","9","4.7","78","20","."
"28020","Kalamazoo-Portage, MI",".",".",".",".","0.11","0.09",".",".",".","32","14.8",".",".","."
"28060","Kalispell, MT","5.3","3.3",".",".","0.06","0.052",".",".",".","24","7.7","68","20","."
"28140","Kansas City, MO-KS","10.2","3.3","57","17","0.11","0.091","79","15","3","34","14","66","36","."
"28300","Keene, NH",".",".",".",".","0.09","0.084","43","23","5","33","11.8","48","18","."
"28420","Kennewick-Richland, WA",".",".",".",".",".",".",".",".",".",".",".","149","23","."
"28700","Kingsport-Bristol-Bristol, TN-VA","3.3","1.9","51","14","0.11","0.093","173","44","8","36","14.3",".",".","."
"28740","Kingston, NY",".",".",".",".","0.1","0.084","16","10","2",".",".","41","11","."
"28820","Kinston, NC",".",".",".",".","0.1","0.085",".",".",".","28","11.5",".",".","."
"28900","Klamath Falls, OR","6.9","3.9",".",".",".",".",".",".",".","93","17.1","160","36","."
"28940","Knoxville, TN","3.8","2",".",".","0.12","0.102","132","21","3","34","16.5","135","35","."
"29020","Kokomo, IN",".",".",".",".",".",".",".",".",".","30","14.7",".",".","."
"29060","Laconia, NH",".",".",".",".","0.1","0.08",".",".",".","29","7.2",".",".","."
"29180","Lafayette, LA",".",".",".",".","0.1","0.075",".",".",".","27","10.3",".",".","."
"29200","Lafayette-West Lafayette, IN",".",".",".",".","0.11","0.096",".",".",".",".",".",".",".","."
"29260","La Grande, OR",".",".",".",".",".",".",".",".",".","27","7.3","71","24","."
"29340","Lake Charles, LA",".",".","26","4","0.1","0.074","65","17","4","34","10.7",".",".","."
"29380","Lake City, FL",".",".",".",".","0.08","0.068",".",".",".",".",".",".",".","."
"29460","Lakeland-Winter Haven, FL",".",".",".",".","0.09","0.072","58","10","4","24","10.1","77","20","."
"29540","Lancaster, PA","3","2.2","44","13","0.12","0.097","46","14","5","40","16.2","107","21","."
"29620","Lansing-East Lansing, MI",".",".",".",".","0.1","0.088",".",".",".","33","13.5",".",".","."
"29660","Laramie, WY",".",".",".",".","0.08","0.075",".",".",".",".",".","114","37","."
